0381	Alminium foil	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0371	Plain yogurt	Ingredient	gram	1	0	1.50	0.00	0.00	0.00	0%	-
0370	Cheese	Ingredient	kg	28.5	0	36.35	0.00	0.00	0.00	0%	-
0367	Gram masala	Ingredient	gram	1	0	2.00	0.00	0.00	0.00	0%	-
0363	Vimto	Ingredient	kg	0	0	0.00	0.00	0.00	0.00	0%	-
0362	Yeast	Ingredient	package	6	0	1.50	0.00	0.00	0.00	0%	-
0361	Cooking oil	Ingredient	L	58	0	3.65	0.00	0.00	0.00	0%	-
0360	Condensed milk	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0359	Turmeric	Ingredient	kg	0	0	0.00	0.00	0.00	0.00	0%	-
0358	Curry powder	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0357	Black pepper	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0356	Ginger	Ingredient	package	3	0	1.00	0.00	0.00	0.00	0%	-
0355	Baking powder	Ingredient	gram	0	0	0.00	0.00	0.00	0.00	0%	-
0351	Strawberry syrup	Ingredient	L	10	0	4.50	0.00	0.00	0.00	0%	-
0350	Chocolate syrup	Ingredient	L	14	0	4.57	0.00	0.00	0.00	0%	-
0349	Lotus biscoff	Ingredient	kg	1	0	4.50	0.00	0.00	0.00	0%	-
0348	Diet sugar	Ingredient	kg	0	0	0.00	0.00	0.00	0.00	0%	-
0344	Food color	Ingredient	package	10	0	6.05	0.00	0.00	0.00	0%	-
0343	Sprite	Ingredient	L	4.25	0	8.00	0.00	0.00	0.00	0%	-
0342	Abu walad biscuits	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0341	Black olives	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0340	Simsim oil	Ingredient	L	0	0	0.00	0.00	0.00	0.00	0%	-
0339	Apples	Ingredient	pcs	7	0	0.00	0.00	0.00	0.00	0%	-
0338	Fish masala	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0337	Chicken masala	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0336	Oreo biscuits	Ingredient	pcs	0	0	0.00	0.00	0.00	0.00	0%	-
0335	Paprika	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0334	potatoes	Ingredient	kg	291.1	0	0.93	0.00	0.00	0.00	0%	-
0333	raw honey	Ingredient	L	6	0	15.67	0.00	0.00	0.00	0%	-
0332	salt	Ingredient	kg	5	0	3.00	0.00	0.00	0.00	0%	-
0331	black bag	Ingredient	package	0	0	0.00	0.00	0.00	0.00	0%	-
0330	blue band	Ingredient	kg	4.94	0	7.00	0.00	0.00	0.00	0%	-
0329	icing sugar	Ingredient	kg	0	0	0.00	0.00	0.00	0.00	0%	-
0328	Camel Milk Ingredient	Ingredient	L	555555816.5	0	3.77	0.00	0.00	0.00	0%	-
0327	Powdered Milk	Ingredient	gram	15	0	19.80	0.00	0.00	0.00	0%	-
0326	Omo	Ingredient	kg	5	0	11.60	0.00	0.00	0.00	0%	-
0325	Rice Seasoning	Ingredient	gram	1	0	32.00	0.00	0.00	0.00	0%	-
0324	Serviettes	Ingredient	cartons	14	0	10.16	0.00	0.00	0.00	0%	-
0323	Cooking Cream	Ingredient	gram	8	0	5.00	0.00	0.00	0.00	0%	-
0322	Flour(Bur)	Ingredient	kg	36.85	0	8.25	0.00	0.00	0.00	0%	-
0321	Black Tea Ingredient	Ingredient	package	5	0	25.00	0.00	0.00	0.00	0%	-
0320	Chilli	Ingredient	kg	15	0	1.00	0.00	0.00	0.00	0%	-
0319	Cabbages	Ingredient	pcs	28	0	2.00	0.00	0.00	0.00	0%	-
0318	White Onions	Ingredient	kg	85	0	0.97	0.00	0.00	0.00	0%	-
0317	Red Onions	Ingredient	kg	111	0	0.97	0.00	0.00	0.00	0%	-
0316	Garlic	Ingredient	kg	2	0	22.75	0.00	0.00	0.00	0%	-
0315	Capsicum	Ingredient	pcs	0	0	0.00	0.00	0.00	0.00	0%	-
0314	White Soya Sauce	Ingredient	ml	0	0	0.00	0.00	0.00	0.00	0%	-
0313	Dark Soya Sauce	Ingredient	L	0	0	0.00	0.00	0.00	0.00	0%	-
0312	Vinegar	Ingredient	L	0	0	0.00	0.00	0.00	0.00	0%	-
0311	Ketchup	Ingredient	L	27	0	7.93	0.00	0.00	0.00	0%	-
0310	Tomato Paste	Ingredient	pcs	8	0	10.97	0.00	0.00	0.00	0%	-
